TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
"BAR,CASUAL DINING",2890,"Continental, Italian, North Indian",11am – 12:30AM (Mon-Sun),Bangalore,New BEL Road,4.2,1020 votes,1400
LOUNGE,13455,"Asian, North Indian, Thai","4pm – 11pm (Mon-Thu),4pm – 1am (Fri-Sat),12noon...",Bangalore,MG Road,4.4,4634 votes,1700
QUICK BITES,3673,"Chinese, Continental",11am – 10pm (Mon-Sun),Bangalore,Jayanagar,NEW,,200
CASUAL DINING,15007,"North Indian, South Indian, Chinese, Continental",7am – 11pm (Mon-Sun),Hyderabad,Gandipet,4.1,154 votes,1700
QUICK BITES,8021,"Mughlai, North Indian, Rolls, Kebab",1pm – 11pm (Mon-Sun),Noida,Sector 132,4.1,192 votes,500
"DESSERT PARLOR,SWEET SHOP",1387,"Desserts, Mithai",7am – 10pm (Mon-Sun),Hyderabad,Lingampally,3.7,298 votes,150
CASUAL DINING,12225,"North Indian, Mughlai, Biryani",11:30am – 4am (Mon-Sun),Hyderabad,Banjara Hills,3.9,588 votes,1200
CASUAL DINING,1745,"Chinese, North Indian, Mughlai",11am – 11pm (Mon-Sun),Chennai,Navallur,3.4,278 votes,450
"CAFÉ,DESSERT PARLOR",8235,"Cafe, Desserts",8am – 11pm (Mon-Sun),Bangalore,Electronic City,4.1,139 votes,400
QUICK BITES,6479,"Fast Food, Desserts, Pizza",11am – 12midnight (Mon-Sun),Hyderabad,Tolichowki,4.1,354 votes,250
CASUAL DINING,11757,Chinese,"11:30am – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",Mumbai,Chakala,4.1,121 votes,800
QUICK BITES,5275,"South Indian, Andhra","Closed (Mon),11am – 11pm (Tue-Sun)",Bangalore,JP Nagar,3.7,90 votes,400
None,7404,North Indian,"12noon – 3pm, 7pm – 2am (Mon, Wed, Thu, Fri...",Gurgaon,Sector 50,NEW,,500
None,7714,"Chinese, North Indian, Fast Food","11am – 4:15pm, 6:30pm – 11:45pm (Mon-Sun)",Mumbai,Goregaon East,4.0,279 votes,400
CASUAL DINING,627,"Tibetan, Chinese, Momos",12noon – 10pm (Mon-Sun),New Delhi,Majnu ka Tila,3.9,563 votes,400
CASUAL DINING,1428,"South Indian, Biryani",11am – 11:30pm (Mon-Sun),Chennai,Royapuram,3.6,48 votes,400
BEVERAGE SHOP,10475,"Beverages, Juices",9:30am – 11pm (Mon-Sun),New Delhi,Rajinder Nagar,NEW,,150
CASUAL DINING,12897,"South Indian, Italian, Chinese, North Indian, Street Food",11am – 12midnight (Mon-Sun),Mumbai,Mira Road,3.6,31 votes,750
QUICK BITES,6656,South Indian,"12noon – 3pm (Mon-Sat),Closed (Sun)",Bangalore,Jayanagar,4.0,54 votes,100
None,3958,North Indian,"12:1AM – 4am (Mon),11am – 4am (Tue-Sun)",Hyderabad,Nearer to fishermen bar and restaurent,2.8,58 votes,200
QUICK BITES,5514,"Street Food, Chinese, Mughlai",2pm – 12midnight (Mon-Sun),Hyderabad,Amberpet,3.7,263 votes,300
CASUAL DINING,1758,"Chinese, Thai, Sushi",11:30am – 11pm (Mon-Sun),Noida,Sector 18,4.3,1270 votes,1500
None,2668,"Seafood, North Indian, Chinese","12noon – 3:30pm, 6pm – 11pm (Mon-Sun)",Bangalore,RT Nagar,3.6,12 votes,400
QUICK BITES,14905,"South Indian, Biryani","12noon – 3pm, 6pm – 10pm (Mon-Sun)",Hyderabad,Chanda Nagar,2.9,179 votes,300
CASUAL DINING,10130,"Seafood, Biryani, Desserts, North Indian, Chinese, Hyderabadi, Mughlai",11am – 11:30pm (Mon-Sun),Hyderabad,Habsiguda,3.6,234 votes,750
QUICK BITES,14801,"Italian, Mexican","11:28am – 3pm (Mon),11am – 3pm, 5:30pm – 11pm...",Mumbai,Vasai,4.1,279 votes,500
None,11235,"Beverages, Fast Food",11am – 11pm (Mon-Sun),Ghaziabad,Raj Nagar,NEW,,400
CASUAL DINING,12976,"Chinese, Mughlai, North Indian, Seafood",11:45am – 10:30pm (Mon-Sun),Hyderabad,Amberpet,3.5,809 votes,800
CASUAL DINING,5870,"South Indian, North Indian",7am – 11pm (Mon-Sun),Chennai,Kodambakkam,3.6,54 votes,300
QUICK BITES,8210,"South Indian, Biryani, Chinese",8am – 2am (Mon-Sun),Chennai,Perumbakkam,3.7,39 votes,300
CASUAL DINING,6116,"North Indian, Chinese",11am – 11pm (Mon-Sun),Chennai,Old Mahabalipuram Road (OMR),3.1,34 votes,500
CASUAL DINING,9596,"North Indian, Fast Food, Kebab",11:30am – 11pm (Mon-Sun),New Delhi,Connaught Place,3.9,2297 votes,900
CASUAL DINING,6439,"Hyderabadi, North Indian, South Indian, Biryani",11am – 11pm (Mon-Sun),Chennai,Perambur,3.9,201 votes,500
CASUAL DINING,11673,South Indian,Not Available,Kochi,MG Road,-,,250
QUICK BITES,11357,"Lebanese, Fast Food",11:30am – 12midnight (Mon-Sun),Navi Mumbai,Nerul,3.9,729 votes,300
CASUAL DINING,2850,"North Indian, Fast Food",10:30am – 11:30pm (Mon-Sun),Kochi,Pallimukku,3.6,33 votes,400
CASUAL DINING,11662,"Andhra, North Indian, Chinese","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Chennai,Anna Nagar East,3.9,313 votes,700
QUICK BITES,12924,Kerala,10am – 10pm (Mon-Sun),Kochi,Kaloor,-,,500
QUICK BITES,8071,South Indian,7:30am – 9:30pm (Mon-Sun),Bangalore,Thippasandra,NEW,,200
"FINE DINING,BAR",1023,"Continental, Kerala",7:30am – 10:30pm (Mon-Sun),Kochi,Fort Kochi,3.9,70 votes,2100
CAFÉ,9791,Cafe,11am – 11pm (Mon-Sun),Kochi,Kakkanad,-,,450
QUICK BITES,9584,"Chinese, South Indian, Arabian","11:30am – 4pm, 6:30pm – 3:30am (Mon-Sun)",Chennai,Kodambakkam,3.8,202 votes,550
None,7412,"North Indian, South Indian",7am – 11pm (Mon-Sun),Bangalore,Hennur,3.7,19 votes,250
FOOD COURT,5680,"North Indian, South Indian, Biryani",12noon – 11pm (Mon-Sun),Hyderabad,Kukatpally,3.4,34 votes,300
CASUAL DINING,3007,"Japanese, Korean","11am – 3pm, 5pm – 10pm (Mon-Sun)",Chennai,Teynampet,3.6,21 votes,2000
CASUAL DINING,10347,Pizza,"10:30am – 11pm (Mon-Thu),10:30am – 12midnight...",Chennai,Nungambakkam,3.7,42 votes,500
CASUAL DINING,4856,Continental,11am – 10:45pm (Mon-Sun),Noida,Sector 44,4.8,208 votes,700
DESSERT PARLOR,10621,Mithai,9am – 10pm (Mon-Sun),Mumbai,Malad West,3.5,21 votes,200
QUICK BITES,12645,North Indian,11am – 11pm (Mon-Sun),Hyderabad,Amberpet,3.7,122 votes,300
CASUAL DINING,1302,"South Indian, Fast Food, Street Food, Desserts, Beverages",7am – 12:30AM (Mon-Sun),Mumbai,Mumbai CST Area,4.0,1148 votes,600
BEVERAGE SHOP,5057,Beverages,11am – 12midnight (Mon-Sun),Mumbai,Kandivali West,NEW,,250
CASUAL DINING,9454,"Tea, South Indian, Roast Chicken, Kerala",6:30am – 8:30pm (Mon-Sun),Kochi,Palarivattom,3.5,31 votes,500
QUICK BITES,14853,Biryani,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",Bangalore,Nagarbhavi,3.9,74 votes,200
LOUNGE,5510,"North Indian, Modern Indian, Italian, Continental",6pm – 1:30am (Mon-Sun),Mumbai,Fort,3.9,90 votes,1500
QUICK BITES,9003,Street Food,4pm – 11pm (Mon-Sun),Chennai,Besant Nagar,4.0,48 votes,150
"QUICK BITES,BAKERY",7698,"Fast Food, Bakery",5am – 10pm (Mon-Sun),Kochi,Vyttila,-,,150
QUICK BITES,680,"American, Fast Food, Salad, Burger",12:30pm – 4am (Mon-Sun),Hyderabad,Gachibowli,3.0,79 votes,600
BAKERY,13520,Bakery,9am – 9:30pm (Mon-Sun),Kochi,Thopumpady,-,,150
QUICK BITES,12617,"South Indian, Chinese, Biryani",7am – 10:30pm (Mon-Sun),Chennai,Besant Nagar,3.5,34 votes,200
QUICK BITES,5943,"South Indian, Chinese",6:30am – 10:30am (Mon-Sun),Chennai,Mylapore,3.5,104 votes,200
QUICK BITES,9752,"Assamese, Naga","Closed (Mon),12noon – 11pm (Tue-Sun)",New Delhi,Safdarjung Enclave,3.8,127 votes,400
QUICK BITES,5241,"Chettinad, Chinese, Biryani","12midnight – 4am, 7pm – 12midnight (Mon-Sun)",Chennai,Ashok Nagar,-,,400
DESSERT PARLOR,2025,"Desserts, Ice Cream",11am – 11:30pm (Mon-Sun),Bangalore,Marathahalli,3.9,42 votes,150
CASUAL DINING,13861,Continental,"8:30am – 4pm (Mon, Wed, Thu, Fri, Sat, Sun)...",Kochi,Fort Kochi,4.0,39 votes,500
CASUAL DINING,6253,South Indian,7am – 11pm (Mon-Sun),Kochi,Kalamassery,3.0,8 votes,300
CASUAL DINING,10692,"Chinese, North Indian, Fast Food, Momos, Continental, Beverages",11:30am – 11:15pm (Mon-Sun),New Delhi,Lajpat Nagar 2,4.2,1097 votes,900
"QUICK BITES,DESSERT PARLOR",922,"Fast Food, Desserts",9am – 11pm (Mon-Sun),New Delhi,Rohini,3.6,774 votes,450
QUICK BITES,12504,"Street Food, Chinese",1pm – 11pm (Mon-Sun),Hyderabad,Adikmet,3.9,154 votes,200
QUICK BITES,4101,"South Indian, North Indian, Chinese, Beverages",7:30am – 12:30AM (Mon-Sun),Bangalore,Koramangala 5th Block,3.7,148 votes,200
CASUAL DINING,7603,North Indian,12noon – 10:30pm (Mon-Sun),New Delhi,Rohini,4.3,207 votes,800
CASUAL DINING,3641,"Biryani, North Indian, Chinese",11am – 11pm (Mon-Sun),Telangana,Hyderabad,3.7,425 votes,800
DESSERT PARLOR,14991,"Desserts, Street Food",9am – 9pm (Mon-Sun),Chennai,West Mambalam,3.8,65 votes,150
QUICK BITES,6378,"North Indian, Chinese, Biryani",11am – 3am (Mon-Sun),Bangalore,Sarjapur Road,3.8,19 votes,400
BAR,4690,Finger Food,4pm – 12midnight (Mon-Sun),Chennai,Koyambedu,3.2,46 votes,1000
CASUAL DINING,10276,"Lebanese, Parsi, Continental, Rolls",8am – 12midnight (Mon-Sun),Mumbai,Colaba,3.8,1475 votes,650
QUICK BITES,8209,South Indian,11:30am – 12midnight (Mon-Sun),Chennai,Choolaimedu,NEW,,300
CASUAL DINING,2694,"European, Middle Eastern, North Indian, Asian, South Indian",24 Hours (Mon-Sun),Chennai,Alwarpet,4.3,151 votes,1600
CASUAL DINING,13570,"North Indian, Chinese, Continental, Beverages, Desserts, Indian, ,","11:30am – 3pm, 7pm – 11:30pm (Mon-Sun)",Mumbai,Borivali West,3.8,274 votes,1500
QUICK BITES,14680,"South Indian, Chinese, Continental","Closed (Mon),7am – 10pm (Tue-Sun)",Chennai,Sowcarpet,3.8,157 votes,400
CASUAL DINING,12987,"Andhra, Hyderabadi","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Chennai,Taramani,3.6,185 votes,200
CAFÉ,6401,"Cafe, Fast Food, Chinese",11am – 11pm (Mon-Sun),Faridabad,Sector 86,NEW,,500
None,15279,"Chinese, Fast Food, Rolls, Momos, BBQ","3pm – 2am (Mon, Wed, Thu, Fri, Sat, Sun)...",New Delhi,Rohini,3.8,444 votes,350
QUICK BITES,7471,"Beverages, Sandwich",10am – 10pm (Mon-Sun),Chennai,Ambattur,3.2,22 votes,300
BAKERY,7640,"Bakery, Fast Food",10:30am – 11pm (Mon-Sun),Chennai,Egmore,4.0,211 votes,600
FINE DINING,4562,"Kerala, Malwani, South Indian, Seafood",7am – 11pm (Mon-Sun),Kochi,Marad,3.6,47 votes,1800
QUICK BITES,3506,"Fast Food, Chinese, North Indian, Momos","12midnight – 2am, 12noon – 12:59pm...",New Delhi,Prashant Vihar,3.8,223 votes,300
CAFÉ,12358,"Cafe, North Indian, Chinese",11am – 10pm (Mon-Sun),New Delhi,Pitampura,3.8,118 votes,600
QUICK BITES,14125,"Kerala, Iranian",6pm – 12midnight (Mon-Sun),Kochi,Kaloor,-,,400
CASUAL DINING,5311,North Indian,11am – 12midnight (Mon-Sun),Secunderabad,Uppal,3.7,3782 votes,450
QUICK BITES,8364,South Indian,6pm – 11pm (Mon-Sun),Hyderabad,Manikonda,3.4,72 votes,250
CASUAL DINING,7293,"North Indian, Chinese, Biryani, Continental",6am – 12midnight (Mon-Sun),Hyderabad,L B Nagar,3.4,68 votes,600
QUICK BITES,11184,"Fast Food, Rolls",11:30am – 11pm (Mon-Sun),Vasai West.,Opposite Kotak Mahindra Bank Next To Woodland Furniture,4.0,625 votes,300
CASUAL DINING,15567,"North Indian, Chinese","11:28am – 11:28pm (Mon),11:30am – 11pm (Tue-Sun)",Secunderabad,Malkajgiri,3.0,594 votes,600
CASUAL DINING,5918,Bengali,"7am – 3:30pm, 5pm – 10:30pm (Mon-Sun)",Chennai,Park Town,3.5,14 votes,400
CASUAL DINING,3329,"South Indian, Kerala",7am – 10pm (Mon-Sun),Kochi,Kadavanthra,3.6,19 votes,400
QUICK BITES,11619,South Indian,7am – 10pm (Mon-Sun),Secunderabad,Padmarao Nagar,3.4,91 votes,150
"BEVERAGE SHOP,DESSERT PARLOR",2676,"Beverages, Desserts, Ice Cream, Juices, Healthy Food, Sandwich",11am – 11pm (Mon-Sun),Chennai,Perungudi,3.5,28 votes,100
CASUAL DINING,13243,"Chinese, North Indian, Continental",12noon – 11:30pm (Mon-Sun),Gurgaon,Sushant Lok,4.4,186 votes,1400
QUICK BITES,1564,"North Indian, Street Food",8am – 10pm (Mon-Sun),Gurgaon,Sohna Road,3.9,626 votes,300
CASUAL DINING,3534,"Chinese, Thai",12:30pm – 11pm (Mon-Sun),New Delhi,Greater Kailash (GK) 2,4.0,1192 votes,800
CASUAL DINING,12182,"Continental, Tea, South Indian, Fast Food, Pizza, North Indian, Chinese",11:30am – 11:30pm (Mon-Sun),Mumbai,Ghatkopar West,4.4,497 votes,600
LOUNGE,1160,Drinks Only,"11am – 11pm (Mon, Tue, Thu, Fri, Sat, Sun), 11am...",Kochi,Elamkulam,3.7,42 votes,2500
BEVERAGE SHOP,9783,Beverages,11am – 8pm (Mon-Sun),Kochi,Marine Drive,-,,200
QUICK BITES,10868,"Rajasthani, North Indian",11am – 11pm (Mon-Sun),Chennai,Kanchipuram District,3.7,58 votes,300
"QUICK BITES,BEVERAGE SHOP",4951,"Juices, Beverages",11am – 11:30pm (Mon-Sun),Chennai,Royapettah,3.7,70 votes,200
CASUAL DINING,11555,"Continental, Mexican, American",1pm – 1am (Mon-Sun),Chennai,Kottivakkam,3.7,64 votes,1200
QUICK BITES,13038,"North Indian, Chinese","12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)",Bangalore,Kaggadasapura,NEW,,400
QUICK BITES,85,"Tibetan, Nepalese, Momos","11:30am – 11pm (Mon-Thu),11:30am – 1am (Fri-Sun)",Bangalore,Koramangala 5th Block,4.1,563 votes,400
QUICK BITES,13475,"American, Fast Food","11am – 9pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed...",Mumbai,Powai,NEW,,150
QUICK BITES,11477,"North Indian, South Indian","7am – 10am, 12noon – 4pm (Mon-Sun)",Hyderabad,Jubilee Hills,3.5,109 votes,350
CASUAL DINING,3430,"North Indian, Biryani, BBQ, Bakery",11am – 11pm (Mon-Sun),Chennai,Old Mahabalipuram Road (OMR),3.0,39 votes,600
CASUAL DINING,7585,"Chinese, South Indian, North Indian",7:30am – 11pm (Mon-Sun),Chennai,K.K. Nagar,3.3,17 votes,400
DESSERT PARLOR,4486,"Ice Cream, Desserts",9am – 1am (Mon-Sun),Hyderabad,Nampally,4.2,930 votes,150
QUICK BITES,8507,"North Indian, Chinese, Mughlai",12noon – 11:45pm (Mon-Sun),Ghaziabad,Indirapuram,4.4,226 votes,600
CASUAL DINING,13642,"European, Continental, Asian, North Indian, BBQ","12:30pm – 3:30pm, 7pm – 12midnight (Mon-Sun)",Thane (W),Louiswadi,4.4,1561 votes,1600
CASUAL DINING,5049,North Indian,9:30am – 9:30pm (Mon-Sun),Kochi,Kakkanad,3.2,8 votes,500
CASUAL DINING,1486,"BBQ, Italian, Kebab, Biryani",11am – 11pm (Mon-Sun),Chennai,Medavakkam,3.6,189 votes,1300
CAFÉ,5711,"Cafe, Continental, Fast Food, Italian",10am – 11:30pm (Mon-Sun),Mumbai,Ghatkopar East,4.0,204 votes,700
CASUAL DINING,8522,"Fast Food, Continental, Italian","11am – 11pm (Mon-Fri),7am – 11pm (Sat-Sun)",Chennai,Besant Nagar,4.0,1359 votes,800
QUICK BITES,1840,"Bengali, Biryani, North Indian, Chinese",11am – 11pm (Mon-Sun),Chennai,Virugambakkam,2.7,94 votes,500
BAKERY,3828,"Bakery, Desserts",11am – 12midnight (Mon-Sun),Rohini,Sector 3,4.4,342 votes,400
CASUAL DINING,5956,"Kerala, South Indian",4am – 10pm (Mon-Sun),Kochi,Mattancherry,-,,300
QUICK BITES,8070,"Fast Food, Beverages","7am – 11pm (Mon-Sat),11am – 11pm (Sun)",Mumbai,Navi Mumbai,3.6,77 votes,400
CASUAL DINING,15352,"Chinese, Mughlai, Kebab",12noon – 11pm (Mon-Sun),Chennai,Saligramam,3.5,109 votes,500
QUICK BITES,11086,"Chinese, North Indian, South Indian, Seafood, Biryani","11am – 3pm, 6pm – 11pm (Mon-Sun)",Chennai,Adyar,3.3,49 votes,500
CAFÉ,2372,Cafe,10:30am – 11pm (Mon-Sun),Kochi,Edappally,3.5,49 votes,650
CASUAL DINING,11284,"South Indian, North Indian",11:30am – 11:30pm (Mon-Sun),Chennai,Ambattur,3.4,67 votes,600
QUICK BITES,12702,Andhra,"11am – 4pm, 7pm – 11pm (Mon-Sun)",Hyderabad,Ameerpet,3.2,372 votes,500
QUICK BITES,10984,North Indian,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Hyderabad,Yousufguda,3.0,881 votes,400
QUICK BITES,298,Mughlai,5pm – 12midnight (Mon-Sun),New Delhi,Jama Masjid,4.2,178 votes,300
QUICK BITES,14878,"American, Mexican, Desserts, Beverages",1pm – 3am (Mon-Sun),Thane,Thane West,4.4,266 votes,600
CASUAL DINING,15479,"Biryani, North Indian, Chinese",5am – 11pm (Mon-Sun),Secunderabad,A S Rao Nagar,3.7,64 votes,600
CASUAL DINING,11669,"Andhra, Chinese, North Indian, South Indian, Arabian",6am – 11pm (Mon-Sun),Chennai,Thuraipakkam,3.2,57 votes,400
QUICK BITES,13663,Chinese,11am – 11pm (Mon-Sun),Hyderabad,Saroor Nagar,3.1,192 votes,350
"CASUAL DINING,CAFÉ",3505,"Continental, Cafe, Desserts",10am – 10pm (Mon-Sun),Chennai,Nungambakkam,4.1,1046 votes,1200
CASUAL DINING,1965,"North Indian, Chinese, Biryani",7am – 12midnight (Mon-Sun),Hyderabad,S R Nagar,3.5,148 votes,600
QUICK BITES,6364,"Arabian, Beverages",12noon – 4am (Mon-Sun),Near Santosh Banjara Hyderabad,Banjara Hills,2.8,168 votes,300
"FINE DINING,BAR",6943,"Asian, Japanese","12:30pm – 4:30pm, 7pm – 1am (Mon-Sun)",Mumbai,Lower Parel,4.4,882 votes,3000
CASUAL DINING,11402,"North Indian, South Indian, Hyderabadi",7am – 11pm (Mon-Sun),Secunderabad,Uppal,3.9,1971 votes,500
QUICK BITES,2940,South Indian,11am – 11pm (Mon-Sun),Kochi,Kaloor,-,,100
None,5370,"Continental, European, Italian, Mediterranean, Mexican, Healthy Food, ,",9am – 10pm (Mon-Sun),Mumbai,Chembur,4.1,147 votes,600
CASUAL DINING,15148,"North Indian, Mughlai",9am – 3am (Mon-Sun),Noida,Sector 28,3.5,20 votes,1000
QUICK BITES,11391,Biryani,11am – 11pm (Mon-Sun),Chennai,Kilpauk,3.1,27 votes,300
CASUAL DINING,11008,South Indian,11am – 11pm (Mon-Sun),Kochi,Nedumbassery,-,,300
CASUAL DINING,4554,"Kerala, South Indian",9:30am – 9pm (Mon-Sun),Kochi,Thopumpady,3.5,30 votes,400
"BAR,CASUAL DINING",14176,"Continental, North Indian, Chinese, American","11am – 1am (Mon-Fri),8:30am – 1am (Sat-Sun)",Bangalore,Koramangala 5th Block,4.6,2694 votes,1300
CASUAL DINING,812,"North Indian, Biryani, Chinese",12noon – 11pm (Mon-Sun),Hyderabad,Miyapur,4.1,1111 votes,1000
CASUAL DINING,14421,"South Indian, Biryani","12noon – 4pm, 7pm – 11pm (Mon-Sun)",Chennai,Nungambakkam,3.9,212 votes,500
CASUAL DINING,5075,"North Indian, Chinese, Arabian, Mughlai, Biryani, Hyderabadi","11am – 4pm, 6pm – 11pm (Mon-Sun)",Chennai,Egatoor,3.5,235 votes,700
QUICK BITES,8092,"Fast Food, Rolls, Momos",12noon – 10pm (Mon-Sun),Secunderabad,Nacharam,3.9,237 votes,250
QUICK BITES,6090,"South Indian, North Indian",6:30am – 9:30pm (Mon-Sun),Kochi,Kakkanad,2.8,16 votes,150
QUICK BITES,4097,South Indian,5:30pm – 10pm (Mon-Sun),Chennai,Selaiyur,3.5,24 votes,150
None,10631,"Fast Food, North Indian, Momos",6pm – 11:30pm (Mon-Sun),New Delhi,Old Rajinder Nagar,3.9,385 votes,400
CASUAL DINING,14450,Korean,"12noon – 3pm, 6pm – 10:30pm (Mon-Sat),Closed (Sun)",Bangalore,Kalyan Nagar,4.2,311 votes,1300
CASUAL DINING,1679,"South Indian, Chinese",9am – 11pm (Mon-Sun),Kochi,Edappally,3.8,41 votes,400
QUICK BITES,1849,"Biryani, South Indian","12:30pm – 3:30pm, 7pm – 11pm (Mon-Sun)",Hyderabad,Manikonda,3.2,75 votes,300
QUICK BITES,2532,North Indian,"7am – 5am (Mon, Tue, Wed, Thu, Sat, Sun), 7am –...",Mumbai,Malad West,2.9,108 votes,350
CASUAL DINING,7955,"North Indian, Arabian",11am – 11:30pm (Mon-Sun),Chennai,Vepery,3.7,219 votes,400
CASUAL DINING,10399,"Pizza, Fast Food","9am – 12midnight (Mon-Thu),12midnight – 12:5AM...",Mumbai,Kandivali West,3.8,292 votes,550
CAFÉ,1252,"Italian, Mexican, Fast Food, Salad, Beverages","Closed (Mon),11am – 11pm (Tue-Sun)",Mumbai,Fort,NEW,,400
QUICK BITES,79,"North Indian, Fast Food, Street Food","Closed (Mon),9:30am – 10pm (Tue-Sun)",Banaswadi (Next to Indian Bank) Bangalore,62 Ramamurthy Nagar Main Road,3.9,287 votes,250
CASUAL DINING,10950,South Indian,7am – 10:30pm (Mon-Sun),Kochi,Thevera,3.4,4 votes,150
QUICK BITES,15405,Fast Food,10am – 9:30pm (Mon-Sun),Kochi,Tripunithura,3.4,13 votes,250
CASUAL DINING,13498,"North Indian, Chinese, BBQ","12noon – 3:30pm, 6:30pm – 11pm (Mon-Sun)",Gurgaon,Sector 29,4.4,1791 votes,1200
FINE DINING,12437,"Mediterranean, Lebanese","12:30pm – 2:45pm, 7pm – 11:45pm (Mon-Sun)",Mumbai,Colaba,4.2,728 votes,5500
CAFÉ,4827,"Cafe, American, Fast Food, South Indian",8am – 4am (Mon-Sun),Hyderabad,Kukatpally,3.4,647 votes,700
CAFÉ,2505,Cafe,8am – 1am (Mon-Sun),Chennai,Medavakam,3.6,73 votes,300
CASUAL DINING,11602,Pizza,12:30pm – 11pm (Mon-Sun),Secunderabad,PG Road,3.8,213 votes,500
CASUAL DINING,4547,South Indian,"12noon – 4pm, 6:30pm – 10pm (Mon-Sat),Closed (Sun)",Kochi,Kadavanthra,3.2,6 votes,350
QUICK BITES,10357,"Pizza, Fast Food",11am – 11pm (Mon-Sun),Bangalore,Whitefield,3.7,495 votes,750
QUICK BITES,1283,Bengali,10am – 11pm (Mon-Sun),Hyderabad,Madhapur,3.3,45 votes,250
DHABA,11712,North Indian,"12noon – 5pm (Mon, Tue, Thu, Fri, Sat), 11:30am...",Mumbai,Sion,3.8,95 votes,300
CASUAL DINING,5868,"South Indian, Biryani",7am – 10pm (Mon-Sun),Ernakulam,Kaloor,-,,300
None,11730,"Kebab, Biryani, Hyderabadi",12noon – 11:30pm (Mon-Sun),Hyderabad,Madhapur,3.8,161 votes,500
CASUAL DINING,1027,"Continental, South Indian, North Indian, Chinese",11am – 11pm (Mon-Sun),Chennai,Pallavaram,3.7,22 votes,600
"BAR,CASUAL DINING",7893,"Asian, Chinese, Burmese, Thai",12:30pm – 1:30am (Mon-Sun),Mumbai,Lower Parel,4.4,205 votes,1500
None,176,Continental,11am – 10pm (Mon-Sun),,,3.7,34 votes,350
"CAFÉ,CASUAL DINING",3232,"Cafe, Italian, American","11am – 12midnight (Mon-Thu),11am – 1am...",Bangalore,Indiranagar,4.3,1374 votes,1000
DESSERT PARLOR,4490,"Ice Cream, Desserts",11:30am – 11pm (Mon-Sun),Hyderabad,Dilsukhnagar,3.6,277 votes,150
CAFÉ,10018,"Cafe, South Indian",7:30am – 10:30am (Mon-Sun),Kochi,Edappally,-,,100
"CASUAL DINING,MICROBREWERY",5687,"Continental, North Indian, Chinese, Cafe",10:30am – 12midnight (Mon-Sun),Hyderabad,Kondapur,4.3,2891 votes,1800
LOUNGE,2527,"North Indian, Continental, Italian",12noon – 12:45AM (Mon-Sun),New Delhi,Connaught Place,3.9,388 votes,1200
CAFÉ,11202,"Cafe, Fast Food, Beverages",10:30am – 10:30pm (Mon-Sun),Bangalore,Jayanagar,4.1,825 votes,400
QUICK BITES,5731,South Indian,11am – 10pm (Mon-Sun),Kochi,Perumbavoor,NEW,,200
CASUAL DINING,2983,"Kerala, Seafood, Juices",11am – 11pm (Mon-Sun),Kochi,Palarivattom,3.3,10 votes,300
CASUAL DINING,9563,"Chinese, Thai","12noon – 4pm, 6pm – 11pm (Mon, Wed, Thu, Fri...",New Delhi,Malviya Nagar,3.9,749 votes,600
None,10173,"Biryani, Hyderabadi",10am – 3am (Mon-Sun),Bangalore,HBR Layout,4.0,161 votes,400
DHABA,6747,"North Indian, Chinese","11am – 5pm, 6pm – 11:30pm (Mon-Sun)",New Delhi,Near Subhash Nagar,3.9,189 votes,300
CASUAL DINING,9036,"North Indian, South Indian",24 Hours (Mon-Sun),Kochi,Nedumbassery,3.1,6 votes,400
QUICK BITES,15029,"Chinese, South Indian, North Indian, Street Food",7am – 10:30pm (Mon-Sun),Bangalore,Kanakapura Road,3.7,36 votes,400
QUICK BITES,4261,Street Food,3pm – 10pm (Mon-Sun),Chennai,Adyar,3.7,42 votes,300
CASUAL DINING,3513,"North Indian, Chinese, Continental","Closed (Mon),7am – 11pm (Tue-Sun)",Hyderabad,Madhapur,3.0,32 votes,900
DESSERT PARLOR,3378,"Ice Cream, Desserts",11am – 10pm (Mon-Sun),Chennai,Velachery,4.0,104 votes,300
CASUAL DINING,10009,South Indian,8am – 12midnight (Mon-Sun),Kochi,HMT Road Kalamassery,3.9,102 votes,400
QUICK BITES,8059,Momos,12noon – 12midnight (Mon-Sun),Mumbai,Mazgaon,4.1,178 votes,200
QUICK BITES,15398,South Indian,11am – 11pm (Mon-Sun),Kochi,Kadavanthra,NEW,,300
QUICK BITES,12717,"North Indian, South Indian, Chinese",7:30am – 10:30pm (Mon-Sun),Secunderabad,Malkajgiri,4.0,178 votes,350
QUICK BITES,4263,"Fast Food, Chinese",11am – 11pm (Mon-Sun),Hyderabad,Ameerpet,3.4,504 votes,300
QUICK BITES,11559,"Chinese, Mughlai",11am – 12midnight (Mon-Sun),Hyderabad,Banjara Hills,3.7,286 votes,800
QUICK BITES,2198,Biryani,11am – 11pm (Mon-Sun),Kochi,Vennala,NEW,,300
CAFÉ,15390,"Continental, Burger, Cafe, Steak",10:30am – 11pm (Mon-Sun),Bangalore,Kammanahalli,3.7,109 votes,800
